transaction_id,transaction_date,year,month,month_name,day_of_week,day_name,amount,description,merchant,transaction_type,category_name,category_type,is_essential,parent_category,account_name,account_type
1753,2025-10-03,2025,10,October  ,5,Friday   ,143.07,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Chase Credit Card,credit_card
1754,2025-10-03,2025,10,October  ,5,Friday   ,36.43,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1750,2025-10-03,2025,10,October  ,5,Friday   ,4.81,Purchase at Dunkin,Dunkin,debit,Coffee Shops,expense,f,Food,Primary Checking,checking
1751,2025-10-03,2025,10,October  ,5,Friday   ,8.63,Purchase at Starbucks,Starbucks,debit,Coffee Shops,expense,f,Food,Amex Credit Card,credit_card
1752,2025-10-03,2025,10,October  ,5,Friday   ,124.10,Purchase at Costco,Costco,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1749,2025-10-03,2025,10,October  ,5,Friday   ,58.86,Purchase at Generic Merchant,Generic Merchant,debit,Entertainment,expense,f,Entertainment,Chase Credit Card,credit_card
1743,2025-10-02,2025,10,October  ,4,Thursday ,57.29,Purchase at Whole Foods,Whole Foods,debit,Groceries,expense,t,Food,Amex Credit Card,credit_card
1748,2025-10-02,2025,10,October  ,4,Thursday ,63.43,Purchase at Target,Target,debit,Groceries,expense,t,Food,Primary Checking,checking
1744,2025-10-02,2025,10,October  ,4,Thursday ,97.63,Purchase at Generic Merchant,Generic Merchant,debit,Home Maintenance,expense,f,Housing,Chase Credit Card,credit_card
1745,2025-10-02,2025,10,October  ,4,Thursday ,66.22,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Chase Credit Card,credit_card
1746,2025-10-02,2025,10,October  ,4,Thursday ,222.70,Purchase at Generic Merchant,Generic Merchant,debit,Shopping,expense,f,Shopping,Amex Credit Card,credit_card
1747,2025-10-02,2025,10,October  ,4,Thursday ,53.58,Purchase at Arco,Arco,debit,Gas/Fuel,expense,t,Transportation,Primary Checking,checking
